A	B	A'	B'	A'B	AB	AB'	A'B'	HWP_A	HWP_B	E	Comments:	Duration (s)	Sub. Acc.?
51035.93	125988.93	0.00	0.00	0.00	823.17	0.00	0.00	281.25	84.25	1.00		15.0	N
50514.20	129634.53	0.00	0.00	0.00	348.18	0.00	0.00	270.00	84.25	1.00		15.0	N
49070.27	113106.27	0.00	0.00	0.00	959.90	0.00	0.00	270.00	95.50	1.00		15.0	N
50978.67	113467.53	0.00	0.00	0.00	1453.56	0.00	0.00	281.25	95.50	1.00		15.0	N
58283.20	113090.67	0.00	0.00	0.00	1909.42	0.00	0.00	292.50	95.50	1.00		15.0	N
65799.20	113445.13	0.00	0.00	0.00	1973.49	0.00	0.00	303.75	95.50	1.00		15.0	N
68983.27	113150.80	0.00	0.00	0.00	1687.48	0.00	0.00	315.00	95.50	1.00		15.0	N
66520.73	113180.13	0.00	0.00	0.00	1169.91	0.00	0.00	326.25	95.50	1.00		15.0	N
59503.93	113043.00	0.00	0.00	0.00	756.27	0.00	0.00	337.50	95.50	1.00		15.0	N
51298.93	113001.60	0.00	0.00	0.00	673.56	0.00	0.00	348.75	95.50	1.00		15.0	N
47337.27	113050.00	0.00	0.00	0.00	952.15	0.00	0.00	0.00	95.50	1.00		15.0	N
47282.00	98183.73	0.00	0.00	0.00	1655.51	0.00	0.00	0.00	106.75	1.00		15.0	N
51002.40	98033.73	0.00	0.00	0.00	1184.67	0.00	0.00	348.75	106.75	1.00		15.0	N
58864.40	98047.73	0.00	0.00	0.00	676.28	0.00	0.00	337.50	106.75	1.00		15.0	N
66049.20	98030.27	0.00	0.00	0.00	459.52	0.00	0.00	326.25	106.75	1.00		15.0	N
68879.60	97973.80	0.00	0.00	0.00	671.78	0.00	0.00	315.00	106.75	1.00		15.0	N
65050.60	97963.47	0.00	0.00	0.00	1213.94	0.00	0.00	303.75	106.75	1.00		15.0	N
58421.33	97956.33	0.00	0.00	0.00	1708.11	0.00	0.00	292.50	106.75	1.00		15.0	N
50920.40	98003.13	0.00	0.00	0.00	1934.30	0.00	0.00	281.25	106.75	1.00		15.0	N
48943.87	98057.87	0.00	0.00	0.00	1729.81	0.00	0.00	270.00	106.75	1.00		15.0	N
48797.53	90406.40	0.00	0.00	0.00	2087.02	0.00	0.00	270.00	118.00	1.00		15.0	N
50746.67	90258.87	0.00	0.00	0.00	1901.53	0.00	0.00	281.25	118.00	1.00		15.0	N
58078.00	90176.73	0.00	0.00	0.00	1302.09	0.00	0.00	292.50	118.00	1.00		15.0	N
65129.27	90206.67	0.00	0.00	0.00	584.18	0.00	0.00	303.75	118.00	1.00		15.0	N
68750.93	90332.47	0.00	0.00	0.00	127.03	0.00	0.00	315.00	118.00	1.00		15.0	N
66247.53	90414.80	0.00	0.00	0.00	313.24	0.00	0.00	326.25	118.00	1.00		15.0	N
59341.80	90259.27	0.00	0.00	0.00	888.84	0.00	0.00	337.50	118.00	1.00		15.0	N
51151.07	90303.67	0.00	0.00	0.00	1660.41	0.00	0.00	348.75	118.00	1.00		15.0	N
47234.60	90384.93	0.00	0.00	0.00	2046.17	0.00	0.00	0.00	118.00	1.00		15.0	N
