,freq,vals
0,0.025,14.99701343952215
1,0.0252,15.627924340467894
2,0.0254,14.958188153310104
3,0.0256,14.124937779990045
4,0.0258,13.515679442508711
5,0.026,12.833997013439522
6,0.0262,12.143354902936785
7,0.0264,11.720756595321056
8,0.0265,11.031607765057242
9,0.0267,10.835988053758088
10,0.0269,10.33349925335988
11,0.0271,10.040816326530614
12,0.0273,9.674962667994027
13,0.0275,9.262817322050772
14,0.0277,8.894723743155799
15,0.0279,8.39223494275759
16,0.0281,8.08984569437531
17,0.0283,8.026381284221006
18,0.0285,7.732951717272274
19,0.0287,7.470134395221503
20,0.0289,7.097560975609756
21,0.0291,6.915380786460926
22,0.0292,6.800398208063713
23,0.0294,6.639123942259831
24,0.0296,6.486062717770034
25,0.0298,6.260577401692385
26,0.03,6.228471876555499
27,0.0302,6.023892483822797
28,0.0304,5.880537580886013
29,0.0306,5.767048282727725
30,0.0308,5.599054255848681
31,0.031,5.6281732205077155
32,0.0312,5.423593827775012
33,0.0314,5.4758586361373816
34,0.0316,5.153310104529617
35,0.0318,5.1712294673967145
36,0.0319,4.983076157292185
37,0.0321,4.942010950721752
38,0.0323,4.767297162767546
39,0.0325,4.868093578894973
40,0.0327,4.80537580886013
41,0.0329,4.633648581383773
42,0.0331,4.612742658038826
43,0.0333,4.690393230462917
44,0.0335,4.374564459930314
45,0.0337,4.403683424589348
46,0.0339,4.4940268790443
47,0.0341,4.463414634146341
48,0.0343,4.393977103036336
49,0.0345,4.374564459930314
50,0.0346,4.2752613240418125
51,0.0348,4.280487804878049
52,0.035,4.189397710303634
53,0.0352,4.223743155798905
54,0.0354,4.156545545047288
55,0.0356,4.253608760577402
56,0.0358,4.2125435540069684
57,0.036,4.230462916874067
58,0.0362,4.1229467396714785
59,0.0364,4.1572921851667495
60,0.0366,4.12369337979094
61,0.0368,4.206570433051269
62,0.037,4.234196117471379
63,0.0372,4.063962170233947
64,0.0373,4.20059731209557
65,0.0375,4.248382279741165
66,0.0377,4.2020905923344944
67,0.0379,4.192384270781483
68,0.0381,4.0520159283225485
69,0.0383,4.120706819313091
70,0.0385,4.1572921851667495
71,0.0387,4.20358387257342
72,0.0389,4.105774016923843
73,0.0391,4.255102040816326
74,0.0393,4.140119462419114
75,0.0395,4.27451468392235
76,0.0397,4.210303633648581
77,0.0399,4.179691388750623
78,0.04,4.261075161772026
79,0.0402,4.302887008461921
80,0.0404,4.192384270781483
81,0.0406,4.255848680935789
82,0.0408,4.337979094076656
83,0.041,4.363364858138377
84,0.0412,4.320806371329019
85,0.0414,4.311100049776008
86,0.0416,4.291687406669984
87,0.0418,4.309606769537083
