01/25/2022 16:51:03
LT: 279.01

0.1000	   992	0.3000	     0
0.1048	  1066	0.3017	     0
0.1096	   960	0.3033	     0
0.1144	  1057	0.3050	     0
0.1191	  1039	0.3066	     0
0.1239	  1013	0.3083	     0
0.1287	   992	0.3100	     0
0.1335	  1028	0.3116	     0
0.1383	  1072	0.3133	     0
0.1431	  1029	0.3149	     0
0.1479	  1009	0.3166	     0
0.1526	  1023	0.3183	     0
0.1574	  1029	0.3199	     0
0.1622	  1150	0.3216	     0
0.1670	  1090	0.3232	     0
0.1718	  1121	0.3249	     0
0.1766	  1145	0.3266	     0
0.1813	  1116	0.3282	     0
0.1861	  1124	0.3299	     0
0.1909	  1142	0.3315	     1
0.1957	  1143	0.3332	     0
0.2005	  1158	0.3349	     0
0.2053	  1237	0.3365	     1
0.2101	  1229	0.3382	     2
0.2148	  1234	0.3398	     1
0.2196	  1287	0.3415	     0
0.2244	  1292	0.3432	     0
0.2292	  1314	0.3448	     0
0.2340	  1345	0.3465	     1
0.2388	  1350	0.3481	     0
0.2436	  1360	0.3498	     1
0.2483	  1387	0.3515	     1
0.2531	  1434	0.3531	     0
0.2579	  1522	0.3548	     0
0.2627	  1567	0.3564	     1
0.2675	  1643	0.3581	     0
0.2723	  1771	0.3598	     1
0.2771	  1863	0.3614	     1
0.2818	  1946	0.3631	     1
0.2866	  2048	0.3647	     1
0.2914	  2020	0.3664	     0
0.2962	  2033	0.3681	     1
0.3010	  1821	0.3697	     1
0.3058	  1753	0.3714	     0
0.3105	  1763	0.3730	     0
0.3153	  1786	0.3747	     0
0.3201	  1777	0.3764	     0
0.3249	  1876	0.3780	     0
0.3297	  1812	0.3797	     0
0.3345	  1786	0.3813	     3
0.3393	  1709	0.3830	     0
0.3440	  1635	0.3847	     2
0.3488	  1719	0.3863	     0
0.3536	  1678	0.3880	     0
0.3584	  1668	0.3896	     1
0.3632	  1677	0.3913	     0
0.3680	  1623	0.3930	     2
0.3728	  1618	0.3946	     1
0.3775	  1667	0.3963	     0
0.3823	  1623	0.3979	     1
0.3871	  1622	0.3996	     2
0.3919	  1689	0.4013	     3
0.3967	  1639	0.4029	     1
0.4015	  1664	0.4046	     0
0.4063	  1719	0.4063	     1
0.4110	  1679	0.4079	     0
0.4158	  1705	0.4096	     0
0.4206	  1750	0.4112	     0
0.4254	  1727	0.4129	     2
0.4302	  1678	0.4146	     2
0.4350	  1681	0.4162	     0
0.4397	  1638	0.4179	     0
0.4445	  1751	0.4195	     1
0.4493	  1720	0.4212	     1
0.4541	  1751	0.4229	     0
0.4589	  1679	0.4245	     0
0.4637	  1709	0.4262	     0
0.4685	  1726	0.4278	     0
0.4732	  1745	0.4295	     1
0.4780	  1759	0.4312	     0
0.4828	  1803	0.4328	     1
0.4876	  1766	0.4345	     0
0.4924	  1720	0.4361	     1
0.4972	  1802	0.4378	     1
0.5020	  1831	0.4395	     0
0.5067	  1736	0.4411	     1
0.5115	  1762	0.4428	     0
0.5163	  1775	0.4444	     1
0.5211	  1780	0.4461	     0
0.5259	  1758	0.4478	     1
0.5307	  1812	0.4494	     0
0.5354	  1801	0.4511	     0
0.5402	  1767	0.4527	     1
0.5450	  1730	0.4544	     1
0.5498	  1804	0.4561	     0
0.5546	  1803	0.4577	     1
0.5594	  1782	0.4594	     0
0.5642	  1779	0.4610	     0
0.5689	  1784	0.4627	     0
0.5737	  1779	0.4644	     1
0.5785	  1862	0.4660	     0
0.5833	  1870	0.4677	     0
0.5881	  1852	0.4693	     0
0.5929	  1846	0.4710	     3
0.5977	  1819	0.4727	     0
0.6024	  1772	0.4743	     1
0.6072	  1860	0.4760	     1
0.6120	  1804	0.4776	     0
0.6168	  1808	0.4793	     2
0.6216	  1799	0.4810	     2
0.6264	  1877	0.4826	     0
0.6312	  1841	0.4843	     0
0.6359	  1899	0.4859	     0
0.6407	  1826	0.4876	     1
0.6455	  1833	0.4893	     0
0.6503	  1872	0.4909	     0
0.6551	  1823	0.4926	     0
0.6599	  1892	0.4942	     0
0.6646	  2000	0.4959	     0
0.6694	  1907	0.4976	     1
0.6742	  1895	0.4992	     1
0.6790	  1997	0.5009	     1
0.6838	  1978	0.5025	     1
0.6886	  2038	0.5042	     1
0.6934	  2095	0.5059	     0
0.6981	  2155	0.5075	     2
0.7029	  2138	0.5092	     0
0.7077	  2059	0.5108	     1
0.7125	  2230	0.5125	     0
0.7173	  2199	0.5142	     1
0.7221	  2223	0.5158	     0
0.7269	  2218	0.5175	     0
0.7316	  2252	0.5191	     0
0.7364	  2334	0.5208	     1
0.7412	  2403	0.5225	     0
0.7460	  2276	0.5241	     0
0.7508	  2350	0.5258	     1
0.7556	  2367	0.5274	     1
0.7604	  2293	0.5291	     0
0.7651	  2281	0.5308	     1
0.7699	  2235	0.5324	     0
0.7747	  2273	0.5341	     0
0.7795	  2252	0.5357	     0
0.7843	  2151	0.5374	     2
0.7891	  2151	0.5391	     1
0.7938	  2166	0.5407	     0
0.7986	  2063	0.5424	     0
0.8034	  2086	0.5440	     0
0.8082	  1919	0.5457	     0
0.8130	  1933	0.5474	     0
0.8178	  1893	0.5490	     0
0.8226	  1815	0.5507	     0
0.8273	  1801	0.5523	     2
0.8321	  1752	0.5540	     0
0.8369	  1816	0.5557	     1
0.8417	  1675	0.5573	     0
0.8465	  1583	0.5590	     0
0.8513	  1659	0.5606	     1
0.8561	  1591	0.5623	     0
0.8608	  1618	0.5640	     0
0.8656	  1629	0.5656	     0
0.8704	  1585	0.5673	     1
0.8752	  1533	0.5689	     0
