Wavelength (Å) - Plot 0,Signal Amplitude (V) - Plot 0
5075.1,0.0148
5080.1,0.0147
5085.1,0.0147
5090.1,0.0146
5095.1,0.0146
5100.1,0.0148
5105.1,0.0147
5110.1,0.0146
5115.1,0.0147
5120.1,0.0145
5125.1,0.0144
5130.1,0.0145
5135.1,0.0143
5140.1,0.0144
5145.1,0.0144
5150.1,0.0144
5155.1,0.0144
5160.1,0.0143
5165.1,0.0144
5170.1,0.0144
5175.1,0.0145
5180.1,0.0146
5185.1,0.0144
5190.1,0.0144
5195.1,0.0144
5200.1,0.0143
5205.1,0.0145
5210.1,0.0145
5215.1,0.0144
5220.1,0.0145
5225.1,0.0143
5230.1,0.0143
5235.1,0.0144
5240.1,0.0144
5245.1,0.0144
5250.1,0.0145
5255.1,0.0144
5260.1,0.0142
5265.1,0.0141
5270.1,0.0141
5275.1,0.0141
5280.1,0.0141
5285.1,0.0142
5290.1,0.0143
5295.1,0.0141
5300.1,0.0141
5305.1,0.0141
5310.1,0.0142
5315.1,0.0141
5320.1,0.0141
5325.1,0.0141
5330.1,0.0142
5335.1,0.014
5340.1,0.014
5345.1,0.0141
5350.1,0.014
5355.1,0.0141
5360.1,0.014
5365.1,0.0141
5370.1,0.014
5375.1,0.0139
5380.1,0.0138
5385.1,0.0139
5390.1,0.0139
5395.1,0.014
5400.1,0.0141
5405.1,0.014
5410.1,0.014
5415.1,0.0141
5420.1,0.0139
5425.1,0.014
5430.1,0.014
5435.1,0.014
5440.1,0.014
5445.1,0.014
5450.1,0.0138
5455.1,0.014
5460.1,0.0141
5465.1,0.0138
5470.1,0.0141
5475.1,0.014
5480.1,0.014
5485.1,0.0138
5490.1,0.0141
5495.1,0.0139
5500.1,0.0141
5505.1,0.0139
5510.1,0.0139
5515.1,0.0141
5520.1,0.014
5525.1,0.014
5530.1,0.014
5535.1,0.0139
5540.1,0.014
5545.1,0.0138
5550.1,0.014
5555.1,0.0138
5560.1,0.014
5565.1,0.0139
5570.1,0.014
5575.1,0.014
5580.1,0.0139
5585.1,0.0141
5590.1,0.014
5595.1,0.0139
5600.1,0.014
5605.1,0.014
5610.1,0.0141
5615.1,0.0141
5620.1,0.0138
5625.1,0.0139
5630.1,0.014
5635.1,0.014
5640.1,0.0141
5645.1,0.0139
5650.1,0.014
5655.1,0.0139
5660.1,0.0139
5665.1,0.0139
5670.1,0.014
5675.1,0.0139
5680.1,0.014
5685.1,0.0139
5690.1,0.0139
5695.1,0.0139
5700.1,0.014
5705.1,0.0139
5710.1,0.014
5715.1,0.0139
5720.1,0.0139
5725.1,0.014
5730.1,0.014
5735.1,0.0141
5740.1,0.0141
5745.1,0.014
5750.1,0.0141
5755.1,0.014
5760.1,0.0142
5765.1,0.0141
5770.1,0.014
5775.1,0.0142
5780.1,0.0143
5785.1,0.0144
5790.1,0.0143
5795.1,0.0141
5800.1,0.0141
5805.1,0.0142
5810.1,0.014
5815.1,0.0142
5820.1,0.0141
5825.1,0.0141
5830.1,0.0143
5835.1,0.0144
5840.1,0.0143
5845.1,0.0141
5850.1,0.0141
5855.1,0.0142
5860.1,0.0144
5865.1,0.0141
5870.1,0.0143
5875.1,0.0143
5880.1,0.0142
5885.1,0.0142
5890.1,0.0145
5895.1,0.0144
5900.1,0.0143
5905.1,0.0145
5910.1,0.0148
5915.1,0.0159
5920.1,0.0149
5925.1,0.0146
5930.1,0.0142
5935.1,0.0146
5940.1,0.0148
5945.1,0.014
5950.1,0.0141
5955.1,0.0141
5960.1,0.0141
5965.1,0.0142
5970.1,0.0143
5975.1,0.0143
