Wavelength(10nm),Signal_Amplitude(V)
3559.1,0.0168
3560.1,0.0169
3561.1,0.0168
3562.1,0.017
3563.1,0.017
3564.1,0.0169
3565.1,0.0169
3566.1,0.0169
3567.1,0.017
3568.1,0.0169
3569.1,0.0168
3570.1,0.017
3571.1,0.0168
3572.1,0.0169
3573.1,0.0171
3574.1,0.0168
3575.1,0.0169
3576.1,0.0169
3577.1,0.0169
3578.1,0.0169
3579.1,0.0169
3580.1,0.017
3581.1,0.0171
3582.1,0.0168
3583.1,0.0169
3584.1,0.0169
3585.1,0.017
3586.1,0.017
3587.1,0.0168
3588.1,0.017
3589.1,0.017
3590.1,0.0169
3591.1,0.017
3592.1,0.0168
3593.1,0.0169
3594.1,0.0169
3595.1,0.017
3596.1,0.0168
3597.1,0.017
3598.1,0.017
3599.1,0.0169
3600.1,0.017
3601.1,0.017
3602.1,0.0169
3603.1,0.0172
3604.1,0.0168
3605.1,0.0171
3606.1,0.0169
3607.1,0.0169
3608.1,0.0168
3609.1,0.017
3610.1,0.0172
3611.1,0.017
3612.1,0.0171
3613.1,0.017
3614.1,0.0171
3615.1,0.017
3616.1,0.0168
3617.1,0.0171
3618.1,0.0171
3619.1,0.0171
3620.1,0.017
3621.1,0.0171
3622.1,0.017
3623.1,0.0169
3624.1,0.017
3625.1,0.0171
3626.1,0.017
3627.1,0.0171
3628.1,0.0171
3629.1,0.0171
3630.1,0.0171
3631.1,0.017
3632.1,0.017
3633.1,0.0171
3634.1,0.017
3635.1,0.017
3636.1,0.017
3637.1,0.0171
3638.1,0.0171
3639.1,0.0171
3640.1,0.0171
3641.1,0.0171
3642.1,0.0171
3643.1,0.0172
3644.1,0.0171
3645.1,0.0172
3646.1,0.0171
3647.1,0.017
3648.1,0.0171
3649.1,0.017
3650.1,0.0171
3651.1,0.0171
3652.1,0.0172
3653.1,0.0172
3654.1,0.0171
3655.1,0.0173
3656.1,0.0171
3657.1,0.0169
3658.1,0.017
3659.1,0.0171
3660.1,0.0173
3661.1,0.0173
3662.1,0.017
3663.1,0.0171
3664.1,0.0171
3665.1,0.0173
3666.1,0.0172
3667.1,0.0171
3668.1,0.0171
3669.1,0.0173
3670.1,0.0172
3671.1,0.0172
3672.1,0.0174
3673.1,0.0171
3674.1,0.0172
3675.1,0.0174
3676.1,0.0172
3677.1,0.0173
3678.1,0.0173
3679.1,0.0172
3680.1,0.0172
3681.1,0.017
3682.1,0.0173
3683.1,0.0171
3684.1,0.0172
3685.1,0.0172
3686.1,0.0173
3687.1,0.0173
3688.1,0.0173
3689.1,0.0171
3690.1,0.0173
3691.1,0.0173
3692.1,0.0173
3693.1,0.0172
3694.1,0.0173
3695.1,0.0172
3696.1,0.0173
3697.1,0.0174
3698.1,0.0171
3699.1,0.0174
3700.1,0.0172
3701.1,0.0174
3702.1,0.0173
3703.1,0.0174
3704.1,0.0174
3705.1,0.0173
3706.1,0.0172
3707.1,0.0172
3708.1,0.0171
3709.1,0.0172
3710.1,0.0172
3711.1,0.0172
3712.1,0.0174
3713.1,0.0175
3714.1,0.0172
3715.1,0.0173
3716.1,0.0172
3717.1,0.0173
3718.1,0.0174
3719.1,0.0174
3720.1,0.0172
3721.1,0.0172
3722.1,0.0172
3723.1,0.0174
3724.1,0.0173
3725.1,0.0173
3726.1,0.0172
3727.1,0.0174
3728.1,0.0174
3729.1,0.0175
3730.1,0.0172
3731.1,0.0174
3732.1,0.0173
3733.1,0.0173
3734.1,0.0173
3735.1,0.0172
3736.1,0.0174
3737.1,0.0173
3738.1,0.0173
3739.1,0.0173
3740.1,0.0173
3741.1,0.0172
3742.1,0.0173
3743.1,0.0174
3744.1,0.0172
3745.1,0.0174
3746.1,0.0173
3747.1,0.0174
3748.1,0.0174
3749.1,0.0173
3750.1,0.0174
3751.1,0.0175
3752.1,0.0173
3753.1,0.0175
3754.1,0.0174
3755.1,0.0174
3756.1,0.0175
3757.1,0.0177
3758.1,0.0177
3759.1,0.0176
3760.1,0.0177
3761.1,0.0174
3762.1,0.0175
3763.1,0.0175
3764.1,0.0175
3765.1,0.0177
3766.1,0.0179
3767.1,0.0175
3768.1,0.0177
3769.1,0.0176
3770.1,0.0174
3771.1,0.0176
3772.1,0.0176
3773.1,0.0176
3774.1,0.0178
3775.1,0.0179
3776.1,0.018
3777.1,0.0179
3778.1,0.0178
3779.1,0.0176
3780.1,0.0177
3781.1,0.0174
3782.1,0.0176
3783.1,0.0175
3784.1,0.0173
3785.1,0.0174
3786.1,0.0174
3787.1,0.0175
3788.1,0.0177
3789.1,0.0174
3790.1,0.0176
3791.1,0.0174
3792.1,0.0175
3793.1,0.0174
3794.1,0.0176
3795.1,0.0175
3796.1,0.0175
3797.1,0.0174
3798.1,0.0176
3799.1,0.0175
3800.1,0.0173
3801.1,0.0173
3802.1,0.0174
3803.1,0.0175
3804.1,0.0174
3805.1,0.0175
3806.1,0.0175
3807.1,0.0173
3808.1,0.0173
3809.1,0.0174
3810.1,0.0175
3811.1,0.0174
3812.1,0.0174
3813.1,0.0174
3814.1,0.0175
3815.1,0.0174
3816.1,0.0174
3817.1,0.0175
3818.1,0.0173
3819.1,0.0173
3820.1,0.0175
3821.1,0.0173
3822.1,0.0174
3823.1,0.0174
3824.1,0.0176
3825.1,0.0178
3826.1,0.0177
3827.1,0.0176
3828.1,0.0177
3829.1,0.0175
3830.1,0.0173
3831.1,0.0175
3832.1,0.0175
3833.1,0.0175
3834.1,0.0174
3835.1,0.0172
3836.1,0.0175
